hand_id,date,position,vpip,pfr,3bet,invested,collected,showdown_cards,winner
257970822098,2025-10-02T16:56:58.000000,3,true,false,false,0.32,0.85,,true
257970828256,2025-10-02T16:57:48.000000,4,false,false,false,0.0,0.0,,false
257970833789,2025-10-02T16:58:33.000000,4,false,false,false,0.0,0.0,,false
257970844337,2025-10-02T16:59:58.000000,5,false,false,false,0.0,0.0,,false
257970849735,2025-10-02T17:00:40.000000,5,false,false,false,0.0,0.0,,false
257970850658,2025-10-02T17:00:47.000000,3,false,false,false,0.0,0.0,,false
257970853263,2025-10-02T17:01:06.000000,5,false,false,false,0.0,0.0,,false
257970861461,2025-10-02T17:01:59.000000,4,false,false,false,0.0,0.0,,false
257970905553,2025-10-02T17:06:30.000000,5,false,false,false,0.0,0.0,,false
257970904294,2025-10-02T17:06:23.000000,2,false,false,false,0.0,0.0,,false
257970955768,2025-10-02T17:11:39.000000,2,true,true,false,0.2,0.0,,false
257970969356,2025-10-02T17:13:01.000000,1,false,false,false,0.0,0.0,,false
257970972969,2025-10-02T17:13:23.000000,5,false,false,false,0.0,0.0,,false
257970975878,2025-10-02T17:13:40.000000,5,true,true,false,0.09999999999999998,0.25,,true
257970978737,2025-10-02T17:13:58.000000,5,false,false,false,0.0,0.0,,false
257970979286,2025-10-02T17:14:01.000000,4,false,false,false,0.0,0.0,,false
257970993048,2025-10-02T17:15:24.000000,1,false,false,false,0.0,0.0,,false
257970993699,2025-10-02T17:15:28.000000,4,false,false,false,0.0,0.0,,false
257970994333,2025-10-02T17:15:32.000000,6,true,true,true,0.75,0.0,,false
257971005193,2025-10-02T17:16:39.000000,6,false,false,false,0.0,0.0,,false
257971009039,2025-10-02T17:17:02.000000,4,false,false,false,0.0,0.0,,false
257971006131,2025-10-02T17:16:44.000000,4,false,false,false,0.0,0.0,,false
257971010963,2025-10-02T17:17:13.000000,5,false,false,false,0.0,0.0,,false
257971008309,2025-10-02T17:16:57.000000,4,false,false,false,0.0,0.0,,false
257971027648,2025-10-02T17:18:53.000000,6,true,true,false,0.09999999999999998,0.25,,true
257971031223,2025-10-02T17:19:14.000000,4,true,true,false,0.3,0.0,,false
257971029010,2025-10-02T17:19:01.000000,6,true,true,true,14.69,28.28,22,true
257971044436,2025-10-02T17:20:32.000000,5,false,false,false,0.0,0.0,,false
257971072050,2025-10-02T17:23:18.000000,2,true,true,false,0.1,0.2,,true
257971074147,2025-10-02T17:23:31.000000,6,false,false,false,0.0,0.0,,false
257971082423,2025-10-02T17:24:21.000000,5,false,false,false,0.0,0.0,,false
257971083224,2025-10-02T17:24:26.000000,5,false,false,false,0.0,0.0,,false
257971101540,2025-10-02T17:26:16.000000,2,false,false,false,0.0,0.0,,false
257971122110,2025-10-02T17:28:20.000000,1,true,false,false,0.3,0.0,,false
257971121428,2025-10-02T17:28:16.000000,6,false,false,false,0.0,0.0,,false
257971128174,2025-10-02T17:28:56.000000,5,false,false,false,0.0,0.0,,false
257971130654,2025-10-02T17:29:11.000000,6,false,false,false,0.0,0.0,,false
257971139102,2025-10-02T17:30:02.000000,2,false,false,false,0.0,0.0,,false
257971147651,2025-10-02T17:30:53.000000,3,false,false,false,0.0,0.0,,false
257971163973,2025-10-02T17:32:32.000000,5,false,false,false,0.0,0.0,,false
257971173972,2025-10-02T17:33:32.000000,1,false,false,false,0.0,0.0,,false
257971181526,2025-10-02T17:34:17.000000,5,false,false,false,0.0,0.0,,false
257971189452,2025-10-02T17:35:05.000000,2,false,false,false,0.0,0.0,,false
257971251659,2025-10-02T17:41:22.000000,2,false,false,false,0.0,0.0,,false
257973053436,2025-10-02T20:25:54.000000,3,false,false,false,0.0,0.0,,false
257973056383,2025-10-02T20:26:08.000000,1,false,false,false,0.0,0.0,,false
257973112546,2025-10-02T20:30:28.000000,3,false,false,false,0.0,0.0,,false
257973138502,2025-10-02T20:32:28.000000,6,false,false,false,0.0,0.0,,false
257973154878,2025-10-02T20:33:43.000000,6,false,false,false,0.0,0.0,,false
257973169294,2025-10-02T20:34:50.000000,3,false,false,false,0.0,0.0,,false
257973179029,2025-10-02T20:35:34.000000,3,true,false,false,0.51,0.0,K6s,false
257973188084,2025-10-02T20:36:15.000000,5,true,true,false,0.6499999999999999,1.47,,true
257973193153,2025-10-02T20:36:38.000000,6,false,false,false,0.0,0.0,,false
257973204083,2025-10-02T20:37:28.000000,6,false,false,false,0.0,0.0,,false
257973197361,2025-10-02T20:36:57.000000,5,false,false,false,0.0,0.0,,false
257973224245,2025-10-02T20:39:01.000000,4,false,false,false,0.0,0.0,,false
